"","Misc","SpeechBody","SpeechID","ParliamentaryRole","Speaker","SpeakerID","Date","id"
"13322","ΣΥΝΕΔΡΙΑΣΗ ","  Κυρίες και κύριοι συνάδελφοι, αρχίζει η συνεδρίαση.
Οι Βουλευτές κ. Σπυρίδων Ταλιαδούρος και κ. Γεώργιος Κωνσταντόπουλος ζητούν άδεια ολιγοήμερης απουσίας στο εξωτερικό. Η Βουλή εγκρίνει;",17430,"Chairman","Δριβελέγκας Ιωάννης",75,"2-9-2014",75
"13323"," ΑΠΟΓΕΥΜΑ		ΣΕΛ. 4
(Σημείωση: Ο παρακάτω πίνακας περιεχομένων δεν αποτελεί το τελικό κείμενο, διότι εκκρεμούν ορθογραφικές και συντακτικές διορθώσεις)
ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ
ΙΕ΄ ΠΕΡΙΟΔΟΣ 
ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ
ΣΥΝΟΔΟΣ Β΄
ΣΥΝΕΔΡΙΑΣΗ Λ΄
Τρίτη  2 Σεπτεμβρίου 2014 (απόγευμα)
ΘΕΜΑΤΑ
 
Α. ΕΙΔΙΚΑ ΘΕΜΑΤΑ 
1. Επικύρωση Πρακτικών, σελ. 
2.  Άδεια απουσίας των Βουλευτών κ.κ. Σ. Ταλιαδούρου και Γ. Κωνσταντόπουλου, σελ. 
3. Επί διαδικαστικού θέματος, σελ. 
 
Β. ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΟΣ ΕΛΕΓΧΟΣ 
1. Κατάθεση αναφορών, σελ. 
2. Απαντήσεις Υπουργών σε ερωτήσεις Βουλευτών, σελ. 
3. Συζήτηση επικαίρων ερωτήσεων:
    α) Προς τον Υπουργό Υποδομών, Μεταφορών και Δικτύων, σχετικά με την αύξηση της τιμής των διοδίων στην Κεντρική Ελλάδα, σελ. 
    β) Προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων, σχετικά με τις δραματικές επιπτώσεις του καταρροϊκού πυρετού στην αιγοπροβατοτροφία, σελ. 
    γ) Προς τον Υπουργό Εξωτερικών, σχετικά με τη ""γερμανική αυθαίρετη ανάμειξη στην εξωτερική - εθνική μας πολιτική"", σελ. 

ΠΡΟΕΔΡΕΥΩΝ
ΔΡΙΒΕΛΕΓΚΑΣ Ι. , σελ.

ΟΜΙΛΗΤΕΣ

Α. Επί διαδικαστικού θέματος:
ΔΡΙΒΕΛΕΓΚΑΣ Ι. , σελ.
ΚΑΠΕΡΝΑΡΟΣ Β. , σελ.

Β. Επί των επικαίρων ερωτήσεων:
ΓΕΡΟΝΤΟΠΟΥΛΟΣ Κ. , σελ.
ΚΑΠΕΡΝΑΡΟΣ Β. , σελ.
ΚΑΡΑΜΠΕΛΑΣ Ι. , σελ.
ΚΟΥΚΟΥΛΟΠΟΥΛΟΣ Π. , σελ.
ΜΩΡΑΪΤΗΣ Ν. , σελ.
ΧΡΥΣΟΧΟΪΔΗΣ Μ. , σελ.
ΠΡΑΚΤΙΚΑ ΒΟΥΛΗΣ
ΙΕ΄ ΠΕΡΙΟΔΟΣ 
ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ
ΣΥΝΟΔΟΣ Β΄
ΤΜΗΜΑ ΔΙΑΚΟΠΗΣ ΕΡΓΑΣΙΩΝ ΤΗΣ ΒΟΥΛΗΣ
ΘΕΡΟΥΣ 2014
ΣΥΝΕΔΡΙΑΣΗ Λ΄
Τρίτη 2 Σεπτεμβρίου 2014 (απόγευμα)
Αθήνα, σήμερα στις 2 Σεπτεμβρίου 2014, ημέρα Τρίτη και ώρα 18.05΄ συνήλθε στην Αίθουσα των συνεδριάσεων του Βουλευτηρίου το Τμήμα Διακοπής Εργασιών της Βουλής (Γ΄ σύνθεση) για να συνεδριάσει υπό την προεδρία του Ε΄ Αντιπροέδρου αυτής κ. ΙΩΑΝΝΗ ΔΡΙΒΕΛΕΓΚΑ.
"," Μάλιστα, μάλιστα.",17431,"","ΠΟΛΛΟΙ ΒΟΥΛΕΥΤΕΣ",NA,"",NA
"13324"," 
"," Η Βουλή ενέκρινε τις ζητηθείσες άδειες. 
Κυρίες και κύριοι συνάδελφοι, εισερχόμαστε στη συζήτηση των 
ΕΠΙΚΑΙΡΩΝ ΕΡΩΤΗΣΕΩΝ
Θα συζητηθεί η πρώτη με αριθμό 52/28-8-2014 επίκαιρη ερώτηση του Βουλευτή Βοιωτίας της Νέας Δημοκρατίας κ. Ιωάννη Καράμπελα προς τoν Υπουργό Υποδομών, Μεταφορών και Δικτύων, σχετικά με την αύξηση της τιμής των διοδίων στην Κεντρική Ελλάδα. 
Στην επίκαιρη ερώτηση του κ. Καράμπελα θα απαντήσει ο Υπουργός Υποδομών, Μεταφορών και Δικτύων κ. Μιχάλης Χρυσοχοΐδης. 
Κύριε Καράμπελα, έχετε τον λόγο για τρία λεπτά.",17432,"Chairman","Δριβελέγκας Ιωάννης",75,"",75
"13325"," 
"," Ευχαριστώ, κύριε Πρόεδρε.
Ευχαριστώ πολύ για την παρουσία σας και εσάς, κύριε Υπουργέ.
Από τις αρχές του έτους ισχύει η νέα τιμολογιακή πολιτική για τα διόδια. Υπάρχουν μεγάλες αυξήσεις στις τιμές τους που κυμαίνονται περί τα 60% σε σχέση με τις προηγούμενες. Χαρακτηριστικό παράδειγμα αποτελεί η Νέα Οδός με τους τρεις μετωπικούς σταθμούς διοδίων στις Αφίδνες, στη Θήβα και στην Τραγάνα και με τους πέντε πλευρικούς σε Καπανδρίτι, Μαλακάσα, Οινόφυτα, Θήβα και Τραγάνα. Ενώ στο τέλος του 2013 για να διασχίσει ένα όχημα τη Νέα Οδό χρειαζόταν ένα κόστος της τάξεως περίπου 2,5 λεπτών ανά χιλιόμετρο, με τις αυξήσεις της 1ης Ιανουαρίου 2014 το αντίστοιχο κόστος ανέρχεται περίπου στα 4 λεπτά το χιλιόμετρο.
Οι λόγοι που μας οδήγησαν να ψηφίσουμε τις αυξήσεις αυτές –και χρησιμοποιώ το πρώτο πληθυντικό, μια και εγώ στηρίζω την παρούσα Κυβέρνηση- είναι γνωστοί και είχαν να κάνουν με την ανάγκη επανεκκίνησης των εργοταξίων στους τέσσερις μεγάλους αυτοκινητόδρομους της χώρας. 
Όπως είχατε πει και εσείς, κύριε Υπουργέ, τον πρώτο χρόνο, το 2014, θα υπήρχε μία αύξηση στις θέσεις εργασίας, θα δημιουργούνταν περί τις έξι χιλιάδες νέες θέσεις εργασίας και μέχρι το τέλος του 2016 θα φθάναμε στους είκοσι χιλιάδες εργαζόμενους. Πλην, όμως, η αλλαγή αυτής της τιμολογιακής πολιτικής είχε και σημαντικές αρνητικές συνέπειες, αφού ως αποτέλεσμα όλων όσων παρέθεσα για τη Νέα Οδό, παρατηρείται τους τελευταίους μήνες μια χαοτική κατάσταση στο επαρχιακό δίκτυο των Νομών Αττικής, Βοιωτίας και Φθιώτιδας, καθώς πλέον η συντριπτική πλειοψηφία των επαγγελματιών οδηγών -και όχι μόνο- έχει σταματήσει να χρησιμοποιεί τον αυτοκινητόδρομο για τη μεταφορά των εμπορευμάτων προκειμένου να περιοριστεί το μεταφορικό κόστος, ενώ και για τους απλούς οδηγούς έχει καταστεί απαγορευτικό.
Θα ήθελα να σας ρωτήσω εάν έχετε συγκριτικά στοιχεία με τα έσοδα του πρώτου εξαμήνου του 2013 με αυτά του 2014, για να δούμε αν τελικά έχουν αυξηθεί με τις διελεύσεις των οχημάτων ή αν έχουν μειωθεί τα αντίστοιχα έσοδα.
Επίσης, θα ήθελα να σας ρωτήσω τι μέτρα έχετε να πάρετε ώστε τα βαρέως τύπου οχήματα να μην μπορούν να περάσουν πλέον από τους επαρχιακούς δρόμους και να κάνουν χρήση των αυτοκινητόδρομων.
Ευχαριστώ.",17433,""," ΙΩΑΝΝΗΣ ΚΑΡΑΜΠΕΛΑΣ",104,"",104
"13326"," 
"," Και εμείς ευχαριστούμε.
Τον λόγο έχει ο κύριος Υπουργός για τρία λεπτά.",17434,"Chairman","Δριβελέγκας Ιωάννης",75,"",75
"13327","
"," Ευχαριστώ, κύριε Πρόεδρε.
Θέλω να ευχαριστήσω το συνάδελφο που μου δίνει τη δυνατότητα να απαντήσω σε ένα θέμα που απασχολεί πάρα πολλούς πολίτες αλλά και πολλές πόλεις, καθώς και την αυτοδιοίκηση πολλών παρόδιων πόλεων των εθνικών δρόμων με αφορμή την επανέναρξη των εργασιών στους αυτοκινητοδρόμους της χώρας. 
Να ενημερώσω, λοιπόν, το Τμήμα με αφορμή την ερώτηση του κυρίου συναδέλφου, ότι αυτήν τη στιγμή βρισκόμαστε σε μια πλήρη εξέλιξη της κατασκευής των αυτοκινητοδρόμων. Έχουν καθημερινά δημιουργηθεί καινούργια εργοτάξια. Χιλιάδες εργαζόμενοι βρίσκουν θέσεις εργασίας. Και πρέπει να σας πω ότι χιλιάδες επιχειρήσεις, μαζί με τις κατασκευαστικές επιχειρήσεις, ενεργοποιούνται και ασχολούνται με τα έργα στη χώρα.
Μέχρι τώρα έχουμε πραγματοποιήσει πληρωμές ύψους 400 εκατομμυρίων στη χώρα. Υπάρχει μια πολύ σημαντική αύξηση του ΑΕΠ εξαιτίας της κατασκευής των έργων. Και πραγματικά είμαι πάρα πολύ ευτυχής, γιατί εδώ, με τη συμμετοχή της Βουλής και όλων των συναδέλφων, μπορέσαμε και ενεργοποιήσαμε ξανά, βάλαμε ξανά μπροστά αυτά τα τεράστια έργα, τα οποία είναι αξίας περίπου 10 δισεκατομμυρίων ευρώ, σε μια χώρα που πέρυσι, πριν από λίγο καιρό, ουσιαστικά ήταν αναπτυξιακά νεκρή. Αυτό, λοιπόν, είναι ένα κρατούμενο θετικό. 
Το δεύτερο που θέλω να τονίσω για μια ακόμη φορά είναι ότι η τιμολογιακή πολιτική των διοδίων αποφασίστηκε, ψηφίστηκε το 2007. Και όταν προ οκταμήνου ψηφίσαμε εδώ την επανέναρξη των έργων δεν υπήρξε καμμία αναφορά στα διόδια. Είναι μια πολιτική, επαναλαμβάνω, που ψηφίστηκε, αποφασίστηκε ανά χιλιόμετρο, με συμβάσεις το 2007. Δεν υπήρξε καμμία, μα καμμία διαφορά. Είναι πράγματα τα οποία έγιναν τότε. 
Το τρίτο που θέλω να τονίσω είναι ότι οφείλουμε να κατανοήσουμε ορισμένες λογικές παραμέτρους αυτού του εγχειρήματος που κάνουμε. Δηλαδή, κυρίες και κύριοι συνάδελφοι, το δρόμο που κυκλοφορούμε τον πληρώνει ο χρήστης. Αυτός που κυκλοφορεί, όχι ο άστεγος, ο μη συμμετέχων πολίτης. Δεν μπορεί, δηλαδή, να πληρώνει ένας συνταξιούχος του Έβρου όποιον χρησιμοποιεί το δρόμο με ασφαλή τρόπο, έναν δρόμο που συντηρείται διαρκώς. Το δρόμο τον πληρώνει αυτός ο οποίος τον χρησιμοποιεί, αυτός ο οποίος με το αυτοκίνητό του, είτε είναι ιδιώτης είτε είναι επαγγελματίας, πηγαίνει από ένα σημείο στο άλλο. 
Αυτή, λοιπόν, είναι και η στοιχειώδης, θα έλεγα, κοινωνική δικαιοσύνη και σημαίνει ότι ο κάθε ένας ο οποίος χρησιμοποιεί ένα δημόσιο αγαθό οφείλει να καταβάλει ένα αντίστοιχο τίμημα.
(Στο σημείο αυτό κτυπάει το κουδούνι λήξης του χρόνου ομιλίας του κυρίου Υπουργού)
Το τέταρτο στοιχείο το οποίο θέλω να σχολιάσω είναι μία παρεξήγηση η οποία ακριβώς προέρχεται εξαιτίας της έλλειψης κατανόησης του όλου θέματος. Τίθεται ένα ζήτημα γιατί τα φορτηγά κυκλοφορούν στους παράλληλους δρόμους,  τίθεται ένα ζήτημα γιατί τα φορτηγά μπαίνουν μέσα σε οικισμούς. Αναρωτιέμαι γιατί αναφερόμαστε στον Υπουργό Υποδομών ή γιατί κάποιοι δήμαρχοι, αυτοδιοικητικοί αναρωτιούνται γιατί ο Υπουργός Υποδομών δεν απαγορεύει τα φορτηγά ή γιατί δεν κάνει πιο φθηνά τα διόδια προκειμένου τα φορτηγά να κινούνται πάνω στο δρόμο.
Αυτό, λοιπόν, είναι ένας παραλογισμός. Είναι ένας παραλογισμός, πρώτον διότι τα φορτηγά οποιαδήποτε δαπάνη έχουν την βάζουν πάνω στο κόμιστρο το οποίο παίρνουν από τον εργοδότη τους. Άρα, λοιπόν, έχουν υποχρέωση να προσθέτουν το κόστος των διοδίων πάνω στο κόμιστρο, πράγμα το οποίο υπήρχε και πριν. Άρα, αυτό δεν έχει καμμία σχέση και καμμία πραγματική σύνδεση με την αποφυγή κυκλοφορίας στους δρόμους. 
Υπάρχει, όμως, και κάτι πιο σημαντικό: Οι παράδρομοι αυτοί, οι παράλληλοι δρόμοι, δεν κατασκευάστηκαν για να κυκλοφορούν φορτηγά ή ΙΧ τα οποία θέλουν να αποφύγουν τους δρόμους. Αν θέλει κάποιος να αποφύγει το δρόμο, υπάρχουν άλλοι δρόμοι, οι επαρχιακοί, οι παλιοί εθνικοί δρόμοι. Οι παράλληλοι δρόμοι έχουν γίνει για ένα και μοναδικό λόγο: Να μπορούν να εξυπηρετούνται οι παρόδιοι οικισμοί, οι αγρότες που έχουν δίπλα χωράφια και κανείς άλλος. 
Το ερώτημα ξέρετε ποιο είναι, κύριε συνάδελφε; Γιατί αφήνουν οι αρμόδιες αρχές να κυκλοφορούν σε παράδρομους, σε παράλληλους δρόμους, σε οικισμούς μέσα τα φορτηγά. Επιτρέπεται να κυκλοφορεί φορτηγό μέσα σε οικισμό; Γιατί τον αφήνει, λοιπόν, η Τροχαία και δεν παίρνει μέτρα;",17435,""," ΜΙΧΑΗΛ ΧΡΥΣΟΧΟΙΔΗΣ",298,"",298
"13328","
"," Κύριε Υπουργέ, έχετε και τη δευτερολογία σας.",17436,"Chairman","Δριβελέγκας Ιωάννης",75,"",75
"13329","  
"," Θα σταματήσω, κύριε Πρόεδρε και θα επανέλθω στη δευτερολογία μου.",17437,""," ΜΙΧΑΗΛ ΧΡΥΣΟΧΟΙΔΗΣ",298,"",298
"13330"," 
"," Κύριε Υπουργέ, τι γίνεται με τον παράδρομο…",17438,""," ΒΑΣΙΛΕΙΟΣ ΚΑΠΕΡΝΑΡΟΣ",97,"",97
"13331"," 
"," Κύριε Καπερνάρο, μπορείτε να κάνετε ερώτηση όποτε θέλετε στον κύριο Υπουργό. Ανταποκρίνεται και θα σας απαντήσει.
Κύριε Καράμπελα, έχετε τον λόγο για τρία λεπτά για τη δευτερολογία σας.",17439,"Chairman","Δριβελέγκας Ιωάννης",75,"",75
